Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 50%, Period: 100, Line: 50000, Page fault: 43210, Time: 0.104798
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 5000, Page fault: 4338, Time: 0.011415
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 10000, Page fault: 8629, Time: 0.022694
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 15000, Page fault: 12857, Time: 0.03364
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 20000, Page fault: 17192, Time: 0.044761
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 25000, Page fault: 21529, Time: 0.057487
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 30000, Page fault: 25854, Time: 0.068869
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 35000, Page fault: 30149, Time: 0.080618
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 40000, Page fault: 34440, Time: 0.091511
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 45000, Page fault: 38833, Time: 0.102615
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 60%, Period: 100, Line: 50000, Page fault: 43221, Time: 0.113826
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 5000, Page fault: 4358, Time: 0.015832
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 10000, Page fault: 8655, Time: 0.028192
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 15000, Page fault: 12988, Time: 0.041189
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 20000, Page fault: 17321, Time: 0.056278
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 25000, Page fault: 21626, Time: 0.072533
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 30000, Page fault: 25926, Time: 0.088768
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 35000, Page fault: 30258, Time: 0.100416
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 40000, Page fault: 34569, Time: 0.111838
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 45000, Page fault: 38877, Time: 0.123178
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 70%, Period: 100, Line: 50000, Page fault: 43167, Time: 0.134611
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 5000, Page fault: 4383, Time: 0.011819
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 10000, Page fault: 8758, Time: 0.024008
